#{"game": "switch", "game_nagents": 3, "game_action_space": 2, "game_comm_limited": true, "game_comm_bits": 3, "game_comm_sigma": 10000000000, "nsteps": 6, "gamma": 1, "model_dial": true, "model_target": true, "model_bn": true, "model_know_share": true, "model_action_aware": true, "model_rnn_size": 128, "bs": 32, "learningrate": 0.0005, "momentum": 0.05, "eps": 0.05, "nepisodes": 5001, "step_test": 10, "step_target": 100, "cuda": 0, "model_rnn_layers": 2, "model_avg_q": true, "eps_decay": 1.0, "comm_enabled": true, "model_comm_narrow": true, "game_action_space_total": 5, "game_reward_shift": 0}
episode,reward
0,0.11538461595773697
10,0.5384615659713745
20,0.3333333432674408
30,0.7083333134651184
40,0.6296296119689941
50,0.8333333134651184
60,0.774193525314331
70,-0.21739129722118378
80,0.9130434989929199
90,0.9166666865348816
100,0.8181818127632141
110,0.875
120,0.9523809552192688
130,0.2916666567325592
140,0.9090909361839294
150,0.6428571343421936
160,0.5833333134651184
170,0.6363636255264282
180,0.38461539149284363
190,1.0
200,0.8333333134651184
210,0.6086956262588501
220,1.0
230,0.8518518805503845
240,0.6399999856948853
250,0.8636363744735718
260,0.6666666865348816
270,0.95652174949646
280,1.0
290,0.9130434989929199
300,0.7307692170143127
310,0.9629629850387573
320,0.7222222089767456
330,0.9583333134651184
340,0.4761904776096344
350,0.43478259444236755
360,0.6538461446762085
370,1.0
380,0.8275862336158752
390,0.7727272510528564
400,0.8571428656578064
410,0.6538461446762085
420,0.739130437374115
430,0.03846153989434242
440,0.7777777910232544
450,0.9230769276618958
460,0.8333333134651184
470,0.7272727489471436
480,0.3478260934352875
490,1.0
500,0.5833333134651184
510,1.0
520,0.5833333134651184
530,0.9230769276618958
540,0.8695651888847351
550,0.7692307829856873
560,0.4000000059604645
570,0.7037037014961243
580,0.5199999809265137
590,0.6296296119689941
600,1.0
610,0.6785714030265808
620,1.0
630,0.8888888955116272
640,0.6521739363670349
650,1.0
660,1.0
670,1.0
680,1.0
690,0.9166666865348816
700,1.0
710,0.949999988079071
720,1.0
730,1.0
740,1.0
750,1.0
760,0.95652174949646
770,0.7083333134651184
780,0.9130434989929199
790,1.0
800,1.0
810,1.0
820,1.0
830,1.0
840,1.0
850,1.0
860,1.0
870,1.0
880,1.0
890,1.0
900,1.0
910,1.0
920,1.0
930,1.0
940,1.0
950,1.0
960,1.0
970,1.0
980,1.0
990,1.0
1000,1.0
1010,1.0
1020,1.0
1030,1.0
1040,1.0
1050,1.0
1060,1.0
1070,1.0
1080,1.0
1090,1.0
1100,1.0
1110,1.0
1120,1.0
1130,1.0
1140,1.0
1150,1.0
1160,1.0
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,1.0
1230,1.0
1240,1.0
1250,1.0
1260,0.6818181872367859
1270,1.0
1280,1.0
1290,1.0
1300,1.0
1310,1.0
1320,1.0
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,1.0
1380,1.0
1390,0.8888888955116272
1400,1.0
1410,1.0
1420,1.0
1430,1.0
1440,1.0
1450,1.0
1460,1.0
1470,0.52173912525177
1480,1.0
1490,1.0
1500,0.9629629850387573
1510,1.0
1520,1.0
1530,1.0
1540,1.0
1550,1.0
1560,1.0
1570,1.0
1580,1.0
1590,1.0
1600,0.9583333134651184
1610,1.0
1620,1.0
1630,1.0
1640,1.0
1650,0.7142857313156128
1660,1.0
1670,1.0
1680,1.0
1690,1.0
1700,1.0
1710,1.0
1720,1.0
1730,1.0
1740,1.0
1750,1.0
1760,0.949999988079071
1770,1.0
1780,1.0
1790,1.0
1800,1.0
1810,1.0
1820,1.0
1830,1.0
1840,1.0
1850,1.0
1860,1.0
1870,1.0
1880,0.9545454382896423
1890,1.0
1900,1.0
1910,1.0
1920,1.0
1930,1.0
1940,1.0
1950,1.0
1960,1.0
1970,0.5454545617103577
1980,0.8399999737739563
1990,0.95652174949646
2000,1.0
2010,1.0
2020,1.0
2030,1.0
2040,0.95652174949646
2050,1.0
2060,1.0
2070,0.9130434989929199
2080,1.0
2090,1.0
2100,1.0
2110,0.9583333134651184
2120,1.0
2130,1.0
2140,1.0
2150,1.0
2160,0.9615384340286255
2170,1.0
2180,1.0
2190,0.9629629850387573
2200,0.9629629850387573
2210,0.8181818127632141
