#{"game": "switch", "game_nagents": 3, "game_action_space": 2, "game_comm_limited": true, "game_comm_bits": 50, "game_comm_sigma": 10000000000, "nsteps": 6, "gamma": 1, "model_dial": true, "model_target": true, "model_bn": true, "model_know_share": true, "model_action_aware": true, "model_rnn_size": 128, "bs": 32, "learningrate": 0.0005, "momentum": 0.05, "eps": 0.05, "nepisodes": 5001, "step_test": 10, "step_target": 100, "cuda": 0, "model_rnn_layers": 2, "model_avg_q": true, "eps_decay": 1.0, "comm_enabled": true, "model_comm_narrow": true, "game_action_space_total": 52, "game_reward_shift": 0}
episode,reward
0,0.0416666679084301
10,-0.5199999809265137
20,0.800000011920929
30,0.8799999952316284
40,1.0
50,0.9166666865348816
60,1.0
70,0.9629629850387573
80,1.0
90,0.9545454382896423
100,0.875
110,0.9200000166893005
120,0.7931034564971924
130,1.0
140,1.0
150,0.9200000166893005
160,1.0
170,1.0
180,1.0
190,1.0
200,1.0
210,1.0
220,1.0
230,0.625
240,1.0
250,0.9090909361839294
260,0.95652174949646
270,1.0
280,1.0
290,0.5909090638160706
300,0.5714285969734192
310,0.9583333134651184
320,1.0
330,0.2222222238779068
340,1.0
350,1.0
360,0.9200000166893005
370,1.0
380,0.6499999761581421
390,0.699999988079071
400,0.8846153616905212
410,0.7894737124443054
420,1.0
430,0.739130437374115
440,1.0
450,0.9090909361839294
460,1.0
470,0.8846153616905212
480,0.695652186870575
490,0.9047619104385376
500,0.9545454382896423
510,1.0
520,0.7368420958518982
530,0.3333333432674408
540,0.95652174949646
550,0.9599999785423279
560,1.0
570,1.0
580,0.40740740299224854
590,0.7142857313156128
600,0.8636363744735718
610,1.0
620,0.9583333134651184
630,0.6296296119689941
640,1.0
650,0.7777777910232544
660,0.6000000238418579
670,0.9047619104385376
680,0.9166666865348816
690,1.0
700,1.0
710,1.0
720,0.5769230723381042
730,1.0
740,0.8571428656578064
750,1.0
760,0.75
770,1.0
780,0.9615384340286255
790,1.0
800,1.0
810,0.800000011920929
820,0.9523809552192688
830,1.0
840,1.0
850,1.0
860,1.0
870,1.0
880,1.0
890,1.0
900,0.9230769276618958
910,1.0
920,0.6296296119689941
930,0.9599999785423279
940,1.0
950,0.9130434989929199
960,0.7272727489471436
970,0.9200000166893005
980,1.0
990,1.0
1000,1.0
1010,1.0
1020,1.0
1030,1.0
1040,0.9615384340286255
1050,1.0
1060,1.0
1070,1.0
1080,1.0
1090,0.8695651888847351
1100,0.9599999785423279
1110,1.0
1120,0.9444444179534912
1130,0.8500000238418579
1140,0.7692307829856873
1150,0.6521739363670349
1160,1.0
1170,0.40909090638160706
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,1.0
1230,1.0
1240,1.0
1250,1.0
1260,1.0
1270,1.0
1280,1.0
1290,1.0
1300,1.0
1310,1.0
1320,1.0
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,1.0
1380,0.4583333432674408
1390,0.8399999737739563
1400,0.7916666865348816
1410,1.0
1420,0.6818181872367859
1430,1.0
1440,1.0
1450,1.0
1460,1.0
1470,1.0
1480,1.0
1490,1.0
1500,1.0
1510,1.0
1520,1.0
1530,1.0
1540,0.9583333134651184
1550,1.0
1560,1.0
1570,1.0
1580,1.0
1590,1.0
1600,1.0
1610,1.0
1620,0.7777777910232544
1630,0.9523809552192688
1640,1.0
1650,1.0
1660,1.0
1670,1.0
1680,0.9166666865348816
1690,0.782608687877655
1700,0.8695651888847351
1710,1.0
1720,1.0
1730,1.0
1740,1.0
1750,1.0
1760,1.0
1770,1.0
1780,1.0
1790,0.9200000166893005
1800,0.8928571343421936
1810,1.0
1820,1.0
1830,1.0
1840,0.7894737124443054
1850,1.0
1860,1.0
1870,1.0
1880,1.0
1890,1.0
1900,1.0
1910,1.0
1920,1.0
1930,1.0
1940,1.0
1950,1.0
1960,0.9583333134651184
1970,1.0
1980,1.0
1990,1.0
2000,0.7083333134651184
2010,1.0
2020,0.9200000166893005
2030,1.0
2040,1.0
2050,1.0
2060,1.0
2070,1.0
2080,1.0
2090,1.0
2100,1.0
2110,1.0
2120,1.0
2130,1.0
2140,1.0
2150,1.0
2160,1.0
2170,0.949999988079071
2180,1.0
2190,0.8823529481887817
2200,0.6842105388641357
2210,0.9599999785423279
2220,0.9545454382896423
2230,0.739130437374115
2240,0.8846153616905212
2250,0.9615384340286255
2260,1.0
2270,1.0
2280,1.0
2290,1.0
2300,0.9130434989929199
2310,1.0
2320,1.0
2330,0.95652174949646
2340,0.800000011920929
2350,1.0
2360,1.0
2370,1.0
2380,1.0
2390,1.0
2400,1.0
2410,1.0
2420,1.0
2430,1.0
2440,1.0
2450,1.0
2460,1.0
2470,1.0
2480,1.0
2490,1.0
2500,1.0
2510,1.0
2520,1.0
2530,0.9523809552192688
2540,1.0
2550,1.0
2560,1.0
2570,0.95652174949646
2580,1.0
2590,1.0
2600,1.0
2610,1.0
2620,1.0
2630,0.95652174949646
2640,1.0
2650,1.0
2660,1.0
2670,1.0
2680,1.0
2690,1.0
2700,1.0
2710,1.0
2720,1.0
2730,1.0
2740,1.0
2750,1.0
2760,1.0
2770,1.0
2780,1.0
2790,1.0
2800,1.0
2810,0.9090909361839294
2820,1.0
2830,0.95652174949646
2840,1.0
2850,1.0
2860,1.0
2870,0.260869562625885
2880,1.0
2890,1.0
2900,1.0
2910,0.95652174949646
2920,1.0
2930,1.0
2940,1.0
2950,1.0
2960,0.9599999785423279
2970,1.0
2980,0.9473684430122375
2990,0.9642857313156128
3000,1.0
3010,1.0
3020,1.0
3030,1.0
3040,1.0
3050,1.0
3060,1.0
3070,1.0
3080,1.0
3090,0.8500000238418579
3100,1.0
3110,1.0
3120,1.0
3130,1.0
3140,1.0
3150,1.0
3160,1.0
3170,1.0
3180,1.0
3190,1.0
3200,1.0
3210,0.9047619104385376
3220,1.0
3230,0.9090909361839294
3240,1.0
3250,1.0
3260,1.0
3270,1.0
3280,1.0
3290,1.0
3300,1.0
3310,1.0
3320,1.0
3330,1.0
3340,1.0
3350,1.0
3360,1.0
3370,1.0
3380,1.0
3390,1.0
3400,0.9629629850387573
3410,1.0
3420,1.0
3430,1.0
3440,1.0
3450,1.0
3460,1.0
3470,1.0
3480,1.0
3490,1.0
3500,1.0
3510,1.0
3520,1.0
