episode,reward
0,-0.1818181872367859
10,0.22727273404598236
20,0.5600000023841858
30,0.6521739363670349
40,0.7599999904632568
50,0.4444444477558136
60,0.8799999952316284
70,0.8799999952316284
80,0.800000011920929
90,0.9047619104385376
100,0.875
110,0.8799999952316284
120,0.37037035822868347
130,0.9130434989929199
140,1.0
150,1.0
160,1.0
170,0.9655172228813171
180,0.9444444179534912
190,0.9583333134651184
200,0.8571428656578064
210,1.0
220,1.0
230,1.0
240,0.9615384340286255
250,0.8181818127632141
260,1.0
270,1.0
280,0.9599999785423279
290,0.6363636255264282
300,1.0
310,0.9090909361839294
320,0.9599999785423279
330,0.9166666865348816
340,1.0
350,0.95652174949646
360,0.7142857313156128
370,0.9545454382896423
380,1.0
390,1.0
400,1.0
410,0.9259259104728699
420,0.9629629850387573
430,1.0
440,1.0
450,0.9629629850387573
460,0.9615384340286255
470,1.0
480,1.0
490,1.0
500,0.9599999785423279
510,1.0
520,0.8999999761581421
530,0.9599999785423279
540,0.95652174949646
550,1.0
560,0.9583333134651184
570,1.0
580,1.0
590,1.0
600,1.0
610,1.0
620,1.0
630,1.0
640,1.0
650,0.9599999785423279
660,1.0
670,1.0
680,1.0
690,1.0
700,1.0
710,1.0
720,1.0
730,1.0
740,0.875
750,0.8148148059844971
760,1.0
770,1.0
780,1.0
790,1.0
800,0.43478259444236755
810,0.6666666865348816
820,1.0
830,1.0
840,1.0
850,1.0
860,1.0
870,1.0
880,1.0
890,1.0
900,1.0
910,1.0
920,1.0
930,1.0
940,1.0
950,1.0
960,1.0
970,1.0
980,1.0
990,1.0
1000,1.0
1010,1.0
1020,1.0
1030,1.0
1040,0.8799999952316284
1050,0.9166666865348816
1060,1.0
1070,1.0
1080,1.0
1090,1.0
1100,1.0
1110,1.0
1120,1.0
1130,1.0
1140,0.8888888955116272
1150,0.931034505367279
1160,1.0
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,1.0
1230,1.0
1240,1.0
1250,1.0
