#{"game": "switch", "game_nagents": 3, "game_action_space": 2, "game_comm_limited": true, "game_comm_bits": 2, "game_comm_sigma": 0.3, "nsteps": 6, "gamma": 1, "model_dial": true, "model_target": true, "model_bn": true, "model_know_share": true, "model_action_aware": true, "model_rnn_size": 128, "bs": 32, "learningrate": 0.0005, "momentum": 0.05, "eps": 0.05, "nepisodes": 5001, "step_test": 10, "step_target": 100, "cuda": 0, "model_rnn_layers": 2, "model_avg_q": true, "eps_decay": 1.0, "comm_enabled": true, "model_comm_narrow": true, "game_action_space_total": 4, "game_reward_shift": 0}
episode,reward
0,0.2916666567325592
10,0.6206896305084229
20,0.6190476417541504
30,0.8695651888847351
40,0.5416666865348816
50,0.09090909361839294
60,0.1818181872367859
70,0.17391304671764374
80,0.9599999785423279
90,1.0
100,0.9599999785423279
110,0.9642857313156128
120,0.9545454382896423
130,0.523809552192688
140,0.9166666865348816
150,0.9599999785423279
160,1.0
170,1.0
180,0.9545454382896423
190,0.8636363744735718
200,1.0
210,0.9615384340286255
220,1.0
230,1.0
240,1.0
250,1.0
260,1.0
270,0.4000000059604645
280,1.0
290,0.9642857313156128
300,1.0
310,0.9615384340286255
320,1.0
330,1.0
340,1.0
350,0.9130434989929199
360,1.0
370,1.0
380,0.8695651888847351
390,1.0
400,0.9583333134651184
410,1.0
420,1.0
430,0.7142857313156128
440,1.0
450,0.8636363744735718
460,1.0
470,1.0
480,1.0
490,0.6086956262588501
500,1.0
510,0.9200000166893005
520,1.0
530,1.0
540,0.9629629850387573
550,1.0
560,1.0
570,1.0
580,0.9259259104728699
590,1.0
600,1.0
610,1.0
620,0.8888888955116272
630,1.0
640,1.0
650,1.0
660,0.9583333134651184
670,1.0
680,0.949999988079071
690,1.0
700,0.9200000166893005
710,1.0
720,0.9285714030265808
730,0.9629629850387573
740,1.0
750,1.0
760,1.0
770,1.0
780,0.9615384340286255
790,0.9090909361839294
800,0.9230769276618958
810,0.9166666865348816
820,0.75
830,1.0
840,1.0
850,1.0
860,1.0
870,1.0
880,0.9615384340286255
890,0.75
900,0.95652174949646
910,1.0
920,1.0
930,1.0
940,0.9200000166893005
950,0.8888888955116272
960,1.0
970,1.0
980,1.0
990,0.9583333134651184
1000,1.0
1010,1.0
1020,1.0
1030,0.9629629850387573
1040,0.8799999952316284
1050,0.9545454382896423
1060,0.95652174949646
1070,0.9642857313156128
1080,1.0
1090,0.949999988079071
1100,1.0
1110,1.0
1120,1.0
1130,1.0
1140,0.9200000166893005
1150,1.0
1160,0.95652174949646
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,1.0
1230,0.9629629850387573
1240,1.0
1250,1.0
1260,0.9411764740943909
1270,0.5909090638160706
1280,0.95652174949646
1290,1.0
1300,1.0
1310,1.0
1320,1.0
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,1.0
1380,1.0
