episode,reward
0,0.43478259444236755
10,0.05000000074505806
20,0.7692307829856873
30,-0.09090909361839294
40,0.26923078298568726
50,0.8965517282485962
60,0.8799999952316284
70,1.0
80,0.8947368264198303
90,0.07692307978868484
100,0.7272727489471436
110,0.8399999737739563
120,1.0
130,0.800000011920929
140,0.8799999952316284
150,0.6666666865348816
160,0.95652174949646
170,1.0
180,0.9615384340286255
190,0.9615384340286255
200,0.9615384340286255
210,0.9523809552192688
220,0.949999988079071
230,0.9599999785423279
240,0.9583333134651184
250,1.0
260,0.695652186870575
270,1.0
280,0.8636363744735718
290,1.0
300,0.2800000011920929
310,0.9615384340286255
320,1.0
330,0.95652174949646
340,0.9583333134651184
350,0.9166666865348816
360,1.0
370,1.0
380,0.9629629850387573
390,0.5909090638160706
400,1.0
410,1.0
420,1.0
430,1.0
440,1.0
450,1.0
460,1.0
470,0.6521739363670349
480,0.8148148059844971
490,1.0
500,1.0
510,1.0
520,1.0
530,1.0
540,1.0
550,1.0
560,1.0
570,1.0
580,1.0
590,1.0
600,0.739130437374115
610,1.0
620,0.8095238208770752
630,1.0
640,1.0
650,0.8888888955116272
660,1.0
670,0.95652174949646
680,1.0
690,1.0
700,1.0
710,1.0
720,1.0
730,1.0
740,1.0
750,1.0
760,0.8799999952316284
770,0.9230769276618958
780,1.0
790,0.9200000166893005
800,1.0
810,1.0
820,1.0
830,1.0
840,0.9200000166893005
850,1.0
860,1.0
870,1.0
880,1.0
890,1.0
900,1.0
910,0.75
920,1.0
930,1.0
940,1.0
950,1.0
960,0.875
970,1.0
980,1.0
990,1.0
1000,1.0
1010,1.0
1020,1.0
1030,1.0
1040,1.0
1050,1.0
1060,1.0
1070,0.8518518805503845
1080,1.0
1090,1.0
1100,1.0
1110,1.0
1120,1.0
1130,1.0
1140,1.0
1150,1.0
1160,1.0
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,0.8999999761581421
1220,1.0
1230,1.0
1240,1.0
1250,0.5
1260,1.0
1270,1.0
1280,1.0
1290,1.0
1300,1.0
1310,1.0
1320,0.9666666388511658
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,1.0
1380,1.0
1390,1.0
1400,1.0
1410,0.9629629850387573
1420,1.0
1430,1.0
1440,0.8095238208770752
1450,1.0
1460,0.6399999856948853
1470,1.0
1480,1.0
1490,0.9599999785423279
1500,1.0
1510,1.0
1520,0.9545454382896423
1530,1.0
1540,1.0
1550,0.9583333134651184
1560,1.0
1570,0.95652174949646
1580,1.0
1590,0.9583333134651184
1600,1.0
1610,1.0
1620,1.0
1630,0.9599999785423279
1640,0.8461538553237915
1650,1.0
1660,1.0
1670,0.9599999785423279
1680,1.0
1690,0.949999988079071
1700,1.0
1710,1.0
1720,1.0
1730,1.0
1740,1.0
1750,1.0
1760,1.0
1770,1.0
1780,1.0
1790,0.9599999785423279
1800,1.0
1810,1.0
1820,1.0
1830,1.0
1840,1.0
1850,1.0
1860,1.0
1870,1.0
1880,1.0
1890,1.0
1900,1.0
1910,1.0
1920,0.95652174949646
1930,0.9583333134651184
1940,1.0
1950,1.0
1960,0.9545454382896423
1970,1.0
1980,0.9047619104385376
1990,1.0
2000,0.9583333134651184
2010,1.0
2020,1.0
2030,0.95652174949646
2040,0.9090909361839294
2050,0.9545454382896423
2060,1.0
2070,1.0
2080,1.0
2090,1.0
2100,1.0
2110,0.95652174949646
2120,0.931034505367279
2130,1.0
2140,1.0
2150,1.0
2160,1.0
2170,1.0
2180,1.0
2190,1.0
2200,1.0
2210,0.9411764740943909
2220,1.0
2230,1.0
2240,0.9615384340286255
