episode,reward
0,0.4399999976158142
10,0.23076923191547394
20,0.375
30,0.20000000298023224
40,0.47826087474823
50,0.3181818127632141
60,0.4399999976158142
70,0.4583333432674408
80,0.1599999964237213
90,0.3913043439388275
100,0.3333333432674408
110,0.3181818127632141
120,0.3333333432674408
130,0.2380952388048172
140,0.23999999463558197
150,0.3181818127632141
160,0.20000000298023224
170,0.3076923191547394
180,0.21739129722118378
190,0.6538461446762085
200,0.4642857015132904
210,0.47999998927116394
220,0.3333333432674408
230,0.375
240,0.5263158082962036
250,0.7727272510528564
260,0.20000000298023224
270,0.6399999856948853
280,0.8518518805503845
290,0.7083333134651184
300,0.625
310,0.5769230723381042
320,0.8181818127632141
330,0.800000011920929
340,0.6399999856948853
350,0.9130434989929199
360,0.8636363744735718
370,0.8148148059844971
380,0.6499999761581421
390,0.6666666865348816
400,0.75
410,0.7307692170143127
420,0.6785714030265808
430,0.6818181872367859
440,0.8399999737739563
450,0.800000011920929
460,0.8799999952316284
470,0.782608687877655
480,0.9130434989929199
490,0.9130434989929199
500,0.807692289352417
510,0.692307710647583
520,0.9130434989929199
530,0.7200000286102295
540,0.6363636255264282
550,0.782608687877655
560,0.6666666865348816
570,0.7307692170143127
580,0.625
590,0.9090909361839294
600,0.7916666865348816
610,0.6190476417541504
620,0.7857142686843872
630,0.9090909361839294
640,0.8421052694320679
650,0.875
660,0.8214285969734192
670,0.739130437374115
680,0.8260869383811951
690,0.8333333134651184
700,0.7142857313156128
710,0.9166666865348816
720,1.0
730,0.800000011920929
740,0.9230769276618958
750,0.9230769276618958
760,0.8399999737739563
770,0.9444444179534912
780,0.8636363744735718
790,0.8333333134651184
800,0.6666666865348816
810,0.6086956262588501
820,0.9583333134651184
830,1.0
840,0.9599999785423279
850,0.7692307829856873
860,0.8333333134651184
870,0.9166666865348816
880,0.9166666865348816
890,0.7916666865348816
900,0.8695651888847351
910,0.9545454382896423
920,1.0
930,1.0
940,0.8846153616905212
950,0.95652174949646
960,0.9599999785423279
970,1.0
980,0.9615384340286255
990,0.9523809552192688
1000,0.8461538553237915
1010,0.949999988079071
1020,0.8571428656578064
1030,1.0
1040,0.9523809552192688
1050,0.9166666865348816
1060,0.8799999952316284
1070,0.9230769276618958
1080,0.8928571343421936
1090,0.9545454382896423
1100,1.0
1110,1.0
1120,0.9629629850387573
1130,0.95652174949646
1140,1.0
1150,1.0
1160,1.0
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,0.9130434989929199
1230,0.9285714030265808
1240,1.0
1250,1.0
1260,1.0
1270,1.0
1280,1.0
1290,0.9583333134651184
1300,1.0
1310,1.0
1320,1.0
1330,0.9200000166893005
1340,0.8799999952316284
1350,0.9599999785423279
1360,1.0
1370,1.0
1380,0.9166666865348816
1390,0.9583333134651184
1400,1.0
1410,1.0
1420,0.9545454382896423
1430,1.0
1440,1.0
1450,1.0
1460,1.0
1470,1.0
1480,1.0
1490,0.9583333134651184
1500,1.0
1510,1.0
1520,1.0
1530,1.0
1540,1.0
1550,0.9599999785423279
