episode,reward
0,0.0
10,0.0
20,0.43478259444236755
30,0.40740740299224854
40,0.47826087474823
50,0.27272728085517883
60,0.5199999809265137
70,0.0
80,0.0476190485060215
90,0.5833333134651184
100,0.3333333432674408
110,0.7083333134651184
120,0.6000000238418579
130,0.5454545617103577
140,0.3199999928474426
150,0.695652186870575
160,0.1666666716337204
170,0.7857142686843872
180,0.5714285969734192
190,0.4545454680919647
200,0.7777777910232544
210,0.4000000059604645
220,0.4000000059604645
230,0.5833333134651184
240,0.692307710647583
250,0.6428571343421936
260,0.23999999463558197
270,0.52173912525177
280,0.8571428656578064
290,0.692307710647583
300,0.5652173757553101
310,0.52173912525177
320,0.5185185074806213
330,0.523809552192688
340,0.6399999856948853
350,0.30000001192092896
360,0.75
370,0.7200000286102295
380,0.3636363744735718
390,0.5199999809265137
400,0.7307692170143127
410,0.5384615659713745
420,0.6086956262588501
430,0.5416666865348816
440,0.7916666865348816
450,0.9545454382896423
460,0.3478260934352875
470,0.7272727489471436
480,0.380952388048172
490,0.6800000071525574
500,0.75
510,0.7142857313156128
520,0.8636363744735718
530,0.8181818127632141
540,0.8260869383811951
550,0.6521739363670349
560,0.6499999761581421
570,0.9523809552192688
580,0.8636363744735718
590,0.9259259104728699
600,0.8799999952316284
610,0.8799999952316284
620,0.949999988079071
630,1.0
640,1.0
650,0.9166666865348816
660,1.0
670,0.9583333134651184
680,0.739130437374115
690,0.8888888955116272
700,0.9200000166893005
710,0.9130434989929199
720,0.9090909361839294
730,0.8333333134651184
740,1.0
750,1.0
760,0.9599999785423279
770,0.9615384340286255
780,0.8947368264198303
790,1.0
800,1.0
810,1.0
820,1.0
830,1.0
840,1.0
850,1.0
860,1.0
870,1.0
880,1.0
890,0.9583333134651184
900,0.949999988079071
910,1.0
920,0.9599999785423279
930,1.0
940,1.0
950,1.0
960,1.0
970,0.9545454382896423
980,1.0
990,1.0
1000,0.95652174949646
1010,1.0
1020,1.0
1030,1.0
1040,1.0
1050,0.9583333134651184
1060,0.9615384340286255
1070,1.0
1080,1.0
1090,1.0
1100,1.0
1110,0.9655172228813171
1120,1.0
1130,1.0
1140,1.0
1150,1.0
1160,1.0
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,1.0
1230,1.0
1240,1.0
1250,1.0
1260,1.0
1270,1.0
1280,1.0
1290,1.0
1300,1.0
1310,1.0
1320,1.0
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,1.0
1380,1.0
1390,1.0
1400,1.0
1410,1.0
1420,1.0
1430,1.0
1440,1.0
1450,1.0
1460,1.0
1470,1.0
1480,1.0
1490,1.0
1500,1.0
1510,1.0
1520,1.0
1530,1.0
1540,1.0
1550,1.0
1560,1.0
1570,1.0
1580,1.0
1590,1.0
1600,1.0
1610,1.0
1620,1.0
1630,1.0
1640,1.0
1650,1.0
1660,1.0
1670,1.0
1680,1.0
1690,1.0
1700,1.0
1710,1.0
1720,1.0
1730,1.0
1740,1.0
1750,1.0
1760,1.0
1770,1.0
1780,1.0
1790,1.0
1800,1.0
1810,1.0
1820,1.0
1830,1.0
1840,1.0
1850,1.0
1860,1.0
1870,1.0
1880,1.0
1890,1.0
1900,1.0
1910,1.0
1920,1.0
1930,1.0
1940,1.0
1950,1.0
1960,1.0
1970,1.0
1980,1.0
1990,1.0
2000,1.0
2010,1.0
2020,1.0
2030,1.0
2040,1.0
2050,1.0
2060,1.0
2070,1.0
2080,1.0
2090,1.0
2100,1.0
2110,1.0
2120,1.0
2130,1.0
2140,1.0
2150,1.0
2160,1.0
2170,1.0
2180,1.0
2190,1.0
2200,1.0
2210,1.0
2220,1.0
2230,1.0
2240,1.0
2250,1.0
2260,1.0
2270,1.0
2280,1.0
2290,1.0
2300,1.0
2310,1.0
2320,1.0
2330,1.0
2340,1.0
2350,1.0
2360,1.0
2370,1.0
2380,1.0
2390,1.0
2400,1.0
2410,1.0
2420,1.0
2430,1.0
2440,1.0
2450,1.0
2460,1.0
2470,1.0
2480,1.0
2490,1.0
2500,1.0
2510,1.0
2520,1.0
2530,1.0
2540,1.0
2550,1.0
2560,1.0
2570,1.0
2580,1.0
2590,1.0
2600,1.0
2610,1.0
2620,1.0
2630,1.0
2640,1.0
2650,1.0
2660,1.0
2670,1.0
2680,1.0
2690,1.0
2700,1.0
2710,1.0
2720,1.0
2730,1.0
2740,1.0
2750,1.0
2760,1.0
2770,0.761904776096344
2780,1.0
2790,1.0
2800,1.0
2810,1.0
2820,1.0
2830,1.0
2840,1.0
2850,1.0
2860,1.0
2870,1.0
2880,1.0
2890,1.0
2900,1.0
2910,1.0
2920,1.0
2930,1.0
2940,1.0
2950,1.0
2960,1.0
2970,1.0
2980,1.0
2990,1.0
3000,1.0
3010,1.0
3020,1.0
3030,1.0
3040,1.0
3050,1.0
3060,1.0
3070,1.0
3080,1.0
3090,1.0
3100,1.0
3110,1.0
3120,1.0
3130,1.0
3140,1.0
3150,1.0
3160,1.0
